Key,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
456,欸？？,欸？ ？,Eh? Intersection
457,那奇怪的人把手中的外賣吞下…,那奇怪的人把手中的外卖吞下…,That strange person swallowed the takeaway ...
458,謝謝你啦。,谢谢你啦。,thank you.
459,一口把你吞了 and GameOver,一口把你吞了 and GameOver,One sip will swallow you and GameOver
460,（他看起來就極度不正常，那根本…不是人啊﹗）,（他看起来就极度不正常，那根本…不是人啊﹗）,"(He looks extremely abnormal, that's all ... is not human﹗)"
461,給我﹗﹗﹗,给我﹗ ﹗ ﹗,Give me! Bind Bind
462,對不起了﹗,对不起了﹗,sorry!
463,你趕緊把它的門關上，然後往走廊盡頭離去。,你赶紧把它的门关上，然后往走廊尽头离去。,You quickly close its door and leave at the end of the corridor.
464,返回調查,返回调查,Return to investigation
465,咦？？,咦？ ？,Huh? Intersection
466,…………,…………,..............
467,你…你怎麼會？,你…你怎么会？,How can you ... how can you?
468,你說什麼？,你说什么？,What did you say?
469,不是，你不是該………怎麼你在這裡？,不是，你不是该………怎么你在这里？,"No, you should not ... how can you be here?"
470,不知道你在說什麼，外賣，不給我嗎？,不知道你在说什么，外卖，不给我吗？,"I don't know what you are talking about, takeaway, don't give me?"
471,你雖然感到錯愕，但你看著他那張熟悉又正常的臉，沒有多考慮就把外賣遞送給他。,你虽然感到错愕，但你看着他那张熟悉又正常的脸，没有多考虑就把外卖递送给他。,"Although you feel wrong, you look at his familiar and normal face, and give him the takeaway without much consideration."
472,他沒有多理會你，接過外賣後就關上了門。,他没有多理会你，接过外卖后就关上了门。,"He didn't care about you, and closed the door after taking the takeaway."
473,（不對…他……他不是被鬼給……）,（不对…他……他不是被鬼给……）,(No ... he ... he was not ghost ...)
474,（但是怎麼會出現在房間裡面？他成了這裡的住客？說不通啊……怎麼會是這樣？）,（但是怎么会出现在房间里面？他成了这里的住客？说不通啊……怎么会是这样？）,(But how could it appear in the room? He became the guest here? Can't tell ... how can this be?)
475,（莫非就是因為他被鬼處理了，所以卻意外成為這裡的住客？還是說打從一開始他就住在這裡？）,（莫非就是因为他被鬼处理了，所以却意外成为这里的住客？还是说打从一开始他就住在这里？）,"(Could it be because he was treated by ghosts, so he unexpectedly became the guest here? Or did he live here from the beginning?)"
476,（不對…這不正常，莫非跟離開這大廈有所關連？）,（不对…这不正常，莫非跟离开这大厦有所关连？）,"(No ... this is abnormal, is it related to leaving the building?)"
477,（他理應……逃了啊？）,（他理应……逃了啊？）,(He should ... escape?)
478,（他不單沒逃跑，而且還成為這裡的住客？）,（他不单没逃跑，而且还成为这里的住客？）,"(He not only escapes, but also becomes a resident here?)"
479,（什麼啊……完全想不通。）,（什么啊……完全想不通。）,(What ... I can't figure it out at all.)
480,（莫非就是因為他想逃跑，所以卻意外成為這裡的住客？還是說打從一開始他就住在這裡？）,（莫非就是因为他想逃跑，所以却意外成为这里的住客？还是说打从一开始他就住在这里？）,"(Could it be because he wants to escape, so he accidentally becomes a resident here? Or does he live here from the beginning?)"
481,（不對…這不正常，莫非跟離開這大廈有所關連？）,（不对…这不正常，莫非跟离开这大厦有所关连？）,"(No ... this is abnormal, is it related to leaving the building?)"
482,（其他人不知道去了哪裡……）,（其他人不知道去了哪里……）,(Others don't know where to go ...)
483,（這所門怎麼顏色不一樣的？……101室。）,（这所门怎么颜色不一样的？……101室。）,(How does this door color different? ... Room 101.)
484,你靠近那所門，與別不同的綠色大門就讓你聯想到二樓那個規則裡明說不能接近的房間- 216室。,你靠近那所门，与别不同的绿色大门就让你联想到二楼那个规则里明说不能接近的房间- 216室。,"You are close to that door, and the different green gate is reminiscent of the rules of the second floor that the room that cannot be approached-Room 216."
485,（那個房間的門是紅色的，也是格外顯眼，難不成這房間裡也有什麼秘密？）,（那个房间的门是红色的，也是格外显眼，难不成这房间里也有什么秘密？）,"(The door of that room is red, and it is particularly conspicuous. Is there any secret in this room?)"
486,（沒有門鈴、沒有信箱口，而且門鎖也跟房間不一樣，可是，規則裡卻沒有透露任何101室的信息，真奇怪……）,（没有门铃、没有信箱口，而且门锁也跟房间不一样，可是，规则里却没有透露任何101室的信息，真奇怪……）,"(There is no doorbell, no mailbox mouth, and the door lock is not the same as the room, but the rules have not disclosed any information about room 101, it is strange ...)"
487,但是，比起101室，它旁邊的那所防火門才是讓你最在意的地方。,但是，比起101室，它旁边的那所防火门才是让你最在意的地方。,"However, compared to Room 101, the fire door next to it is the place where you care most."
488,因無法使用升降機，所以能離開大樓的方法，只剩下眼前的這所逃生門。,因无法使用升降机，所以能离开大楼的方法，只剩下眼前的这所逃生门。,"Because the lifting machine cannot be used, the method of being able to leave the building is only the escape door in front of you."
489,（可是…）,（可是…）,(But…)
490,（四眼他分明就是想要逃走，但那隻高大的鬼怪就把他給做掉…）,（四眼他分明就是想要逃走，但那只高大的鬼怪就把他给做掉…）,"(Four eyes he clearly wants to escape, but the tall ghost will do him ...)"
491,（只是他卻沒有死去，而且成為了這裡的住客…難不成這之間有些什麼關連嗎？）,（只是他却没有死去，而且成为了这里的住客…难不成这之间有些什么关连吗？）,"(It's just that he hasn't died, and it has become a resident here ... Is there any connection between this?)"
492,（我總不能一直在這裡做外送員吧，這工作感覺沒完沒了啊。）,（我总不能一直在这里做外送员吧，这工作感觉没完没了啊。）,"(I can't always be a sender here all the time, this work feels endless.)"
493,（而且…）,（而且…）,(and…)
494,（規則裡根本沒有說不能離開……莫非是我們一直誤會了，根本沒有人阻止我們？…）,（规则里根本没有说不能离开……莫非是我们一直误会了，根本没有人阻止我们？…）,"(I didn't say that we couldn't leave at all in the rules ... Could it be that we have been misunderstood, no one stops us at all? ...)"
495,（可是，四眼他分明是想要逃走了，但最後卻成為這裡的住客……）,（可是，四眼他分明是想要逃走了，但最后却成为这里的住客……）,"(However, the four eyes he clearly wanted to escape, but in the end he became the guest here ...)"
496,（這中間究竟發生了什麼事？）,（这中间究竟发生了什么事？）,(What happened in the middle?)
497,（我總不能一直在這裡做外送員吧，這工作感覺沒完沒了，暫時想到的缺口只有這裡了。）,（我总不能一直在这里做外送员吧，这工作感觉没完没了，暂时想到的缺口只有这里了。）,(I can't always be a sender here all the time. This work feels endless. The gap that I think of the time is only here.)
498,算了,算了,never mind
499,逃走,逃走,escape
500,,,
501,（不嘗試是不可能有出路的，我就不信我不能走出這座大樓﹗）,（不尝试是不可能有出路的，我就不信我不能走出这座大楼﹗）,"(If you don’t try it, there is no way out, I don’t believe I can’t get out of this building.)"
502,你拋開了一切的顧慮，吸了口氣，準備推開那所厚重的門。,你抛开了一切的顾虑，吸了口气，准备推开那所厚重的门。,"You put all your concerns, take a breath, and prepare to push away the heavy door."
503,可是還沒把它給完全推開，心裡預想的情況終歸還是發生…,可是还没把它给完全推开，心里预想的情况终归还是发生…,"But I haven't pushed it away completely, the situation I expected in my heart still happened ..."
504,一個巨大的身影憑空地在你眼前閃現，他兇惡的樣子讓你幾乎感到窒息…,一个巨大的身影凭空地在你眼前闪现，他凶恶的样子让你几乎感到窒息…,"A huge figure flashed in front of your eyes, his fierce appearance makes you almost suffocate ..."
505,在想發出叫喊聲之前，他的一雙手已經把你的頸項牢牢地掐住，直到你失去了所有意識。,在想发出叫喊声之前，他的一双手已经把你的颈项牢牢地掐住，直到你失去了所有意识。,"Before he wanted to make a shout, his hands had held your neck firmly until you lost all consciousness."
